file name, index, score
lima, 45, 0.036739
lima, 41, 0.036506
lima, 595, 0.036488
lima, 855, 0.036447
lima, 158, 0.036438
lima, 953, 0.036437
lima, 1004, 0.036403
lima, 722, 0.036401
lima, 550, 0.03636
lima, 68, 0.036304
lima, 954, 0.036304
lima, 955, 0.036297
lima, 382, 0.036292
lima, 12, 0.036274
lima, 1022, 0.036226
lima, 719, 0.036221
lima, 364, 0.03622
lima, 887, 0.036205
lima, 484, 0.036022
lima, 117, 0.036006
lima, 574, 0.036002
lima, 924, 0.035994
lima, 404, 0.035946
lima, 224, 0.03594
lima, 692, 0.03588
lima, 938, 0.035874
lima, 429, 0.035843
lima, 864, 0.035744
lima, 222, 0.035726
lima, 674, 0.035672
lima, 93, 0.03565
lima, 905, 0.035534
lima, 472, 0.035533
lima, 419, 0.035525
lima, 71, 0.035445
lima, 520, 0.035399
lima, 291, 0.035314
lima, 997, 0.035268
lima, 29, 0.035255
lima, 556, 0.035241
lima, 778, 0.035103
lima, 297, 0.035083
lima, 922, 0.035026
lima, 0, 0.035017
lima, 147, 0.034903
lima, 79, 0.034871
lima, 625, 0.034846
lima, 513, 0.034845
lima, 899, 0.03484
lima, 213, 0.034803
lima, 882, 0.034709
lima, 927, 0.034639
lima, 238, 0.034619
lima, 1020, 0.034595
lima, 2, 0.03456
lima, 853, 0.034558
lima, 14, 0.034501
lima, 1002, 0.034481
lima, 633, 0.034455
lima, 911, 0.034405
lima, 250, 0.034349
lima, 675, 0.034345
lima, 738, 0.03434
lima, 351, 0.034292
lima, 736, 0.034268
lima, 979, 0.034236
lima, 166, 0.034157
lima, 300, 0.03414
lima, 326, 0.034136
lima, 981, 0.034127
lima, 366, 0.034089
lima, 267, 0.034045
lima, 966, 0.034034
lima, 201, 0.034018
lima, 957, 0.033988
lima, 32, 0.033984
lima, 589, 0.03392
lima, 206, 0.033811
lima, 879, 0.033801
lima, 130, 0.033801
lima, 668, 0.033695
lima, 239, 0.033628
lima, 26, 0.03356
lima, 618, 0.033488
lima, 455, 0.033485
lima, 362, 0.033441
lima, 288, 0.033385
lima, 973, 0.03336
lima, 531, 0.033357
lima, 686, 0.033352
lima, 157, 0.033273
lima, 118, 0.033201
lima, 1027, 0.033176
lima, 720, 0.033159
lima, 558, 0.033065
lima, 530, 0.032913
lima, 919, 0.032911
lima, 195, 0.032864
lima, 354, 0.032863
lima, 630, 0.032862
